day,unit,deployment_id,assembled,greenstripe count,cam_height,angle,keep,farthest_dist,mean_fish_dist
Day 4,105,H2D15T105,Day 4:105:H2D15T105,467,0.959358195,14.33819159,1,2.245938564,2.644234146
Day 5,103,D1D34T103,Day 5:103:D1D34T103,38,0.475612087,9.485513062,1,2.583123151,1.675477419
Day 3pt2,105,H1D09T105,Day 3pt2:105:H1D09T105,118,1.227455416,26.80442719,1,2.798720631,2.458104386
Day3pt1,105,H01D27105,Day3pt1:105:H01D27105,132,1.414714919,30.12523811,1,2.933115833,2.552938889
Day3pt1,105,H01D15105,Day3pt1:105:H01D15105,129,1.647780752,33.5310871,1,3.039550899,2.078325472
Day3pt1,101,H01D30101,Day3pt1:101:H01D30101,32,1.268382533,14.13993292,1,3.088790827,2.728274211
Day3pt1,101,H01D12101,Day3pt1:101:H01D12101,48,1.492221941,34.71148919,1,3.13795045,2.524197732
Day3pt1,103,H01D16103,Day3pt1:103:H01D16103,36,0.544595598,13.38398431,1,3.172366846,2.03122549
Day2,108,S04D24108,Day2:108:S04D24108,161,1.043027188,13.95821944,1,3.260666901,2.98029375
Day 5,108,D1D06T108,Day 5:108:D1D06T108,124,1.023273523,13.74910782,1,3.365277385,3.058699174
Day 5,103,D1D28T103,Day 5:103:D1D28T103,32,0.458002993,9.506106229,1,3.37793966,2.302054074
Day 4,103,H2CC09T103,Day 4:103:H2CC09T103,37,0.304621021,3.998028706,1,3.484012645,3.382816456
Day 5,103,D2D31T103,Day 5:103:D2D31T103,73,0.429876164,10.12216099,1,3.595044008,2.95064375
Day 4,101,H2CC07T101,Day 4:101:H2CC07T101,197,0.906737918,16.92056797,1,3.602963127,2.514371429
Day3pt1,108,H01D25108,Day3pt1:108:H01D25108,73,0.859773032,12.39248378,1,3.637613467,2.79334
Day 3pt2,108,H1D07T108,Day 3pt2:108:H1D07T108,68,1.40084452,16.19621526,1,3.875668486,3.3005192
Day 5,108,D2D36T108,Day 5:108:D2D36T108,125,0.986454418,11.20602871,1,4.076378814,2.87095619
Day 5,105,D2D34T105,Day 5:105:D2D34T105,110,1.137056934,27.20934123,1,4.435579973,2.371808696
